"scenario","strategy","N","n_decks","penetration","rule","payout_bj","can_double","can_split","can_surrender","EV","SE","HE_per_hand","HE_per_bet","ROI","win_rate","loss_rate","push_rate","bj_rate_player","bj_rate_dealer","surrender_rate","player_bust_rate","dealer_bust_rate","double_rate","avg_bet_per_hand","max_drawdown"
"demo_random","demo",1e+06,6,NA,"S17",1.5,TRUE,FALSE,TRUE,-0.037238,0.00122707796699164,NA,0.037238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"basic_S17","basic",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.040783,0.00116307635160277,0.040783,0.035374611085716,-0.035374611085716,0.412275,0.509541,0.078184,0.047171,0.047168,0.07719,0.102459,0.226652,0.152889,1.152889,40872
"hilo_S17","hilo",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.055703,0.00314541858413933,0.055703,0.0256046885773385,-0.0256046885773385,0.412275,0.509541,0.078184,0.047171,0.047168,0.07719,0.102459,0.226652,0.152889,2.1755,55796
"basic_S17_rule","basic",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.042195,0.00116308767285529,0.042195,0.0366020907301594,-0.0366020907301594,0.411744,0.510556,0.0777,0.047319,0.047413,0.077421,0.102871,0.226278,0.152803,1.152803,42240.5
"basic_H17_rule","basic",1e+06,6,0.75,"H17",1.5,TRUE,FALSE,TRUE,-0.043469,0.00116358983322316,0.043469,0.0376154362694874,-0.0376154362694874,0.409023,0.514363,0.076614,0.047377,0.047332,0.08777,0.099119,0.22799,0.155616,1.155616,43518.5
"hilo_S17_rule","hilo",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.037442,0.00323441085177031,0.037442,0.017135566024697,-0.017135566024697,0.41413,0.506766,0.079104,0.047493,0.047283,0.076137,0.104089,0.227351,0.15714,2.185046,37774
"hilo_H17_rule","hilo",1e+06,6,0.75,"H17",1.5,TRUE,FALSE,TRUE,-0.037592,0.00322931823610376,0.037592,0.0171736405267217,-0.0171736405267217,0.411548,0.510416,0.078036,0.047531,0.047208,0.086742,0.100277,0.229173,0.159817,2.188936,37831.5
"basic_double_ON","basic",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.03595,0.0115892920801528,0.03595,0.0312799095101366,-0.0312799095101366,0.4105,0.5085,0.081,0.0487,0.0439,0.0805,0.102,0.2187,0.1493,1.1493,365.5
"basic_double_OFF","basic",1e+06,6,0.75,"S17",1.5,FALSE,FALSE,TRUE,-0.02535,0.0095366310866704,0.02535,0.02535,-0.02535,0.4122,0.505,0.0828,0.0486,0.0451,0.0879,0.1171,0.2126,0,1,271.5
"basic_surrender_ON","basic",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,TRUE,-0.03595,0.0115892920801528,0.03595,0.0312799095101366,-0.0312799095101366,0.4105,0.5085,0.081,0.0487,0.0439,0.0805,0.102,0.2187,0.1493,1.1493,365.5
"basic_surrender_OFF","basic",1e+06,6,0.75,"S17",1.5,TRUE,FALSE,FALSE,-0.054,0.0117565820595176,0.054,0.0471451021477213,-0.0471451021477213,0.4229,0.4914,0.0857,0.0479,0.0446,0,0.1493,0.2271,0.1454,1.1454,548.5
